赤羽駅,湘南新宿ライン・南行き（５番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,南改札口,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,,,,,,,,,,,,,,,,,,,,,,,,,,
赤羽駅,湘南新宿ライン・南行き（５番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,北改札口（エキュート）,・トイレ,・びゅうプラザ,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,・南北線,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,
赤羽駅,湘南新宿ライン・南行き（５番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,南改札口,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,,,,,,,,,,,,,,,,,,,,,,,,,,
赤羽駅,湘南新宿ライン・南行き（５番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,北改札口（エキュート）,・トイレ,・びゅうプラザ,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,・南北線,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,
赤羽駅,湘南新宿ライン・南行き（５番線）出口に近い・乗り換えに便利な乗車位置案,JR東日本公式サイト：赤羽駅,-,www.jreast.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赤羽駅,湘南新宿ライン・北行き（６番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【１５両編成】,２号車後方,（南改札口）,階段,４号車,（南改札口）,エレベーター,５号車後方,（待合室）,６号車後方,階段（南改札口）,エスカレーター（北改札口）,８号車,（北改札口）,階段,１２号車,（北改札口）,階段,,,,,,,,,,,,,
赤羽駅,湘南新宿ライン・北行き（６番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【１０両編成】,１号車後方,階段（南改札口）,エスカレーター（北改札口）,３号車,（北改札口）,階段,７号車,（北改札口）,階段,,,,,,,,,,,,,,,,,,,,,
赤羽駅,湘南新宿ライン・北行き（６番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,南改札口,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,,,,,,,,,,,,,,,,,,,,,,,,,,
赤羽駅,湘南新宿ライン・北行き（６番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,北改札口（エキュート）,・トイレ,・びゅうプラザ,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,・南北線,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,
赤羽駅,湘南新宿ライン・北行き（６番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,南改札口,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,,,,,,,,,,,,,,,,,,,,,,,,,,
赤羽駅,湘南新宿ライン・北行き（６番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,北改札口（エキュート）,・トイレ,・びゅうプラザ,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,・南北線,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,
赤羽駅,湘南新宿ライン・北行き（６番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,南改札口,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,,,,,,,,,,,,,,,,,,,,,,,,,,
赤羽駅,湘南新宿ライン・北行き（６番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,北改札口（エキュート）,・トイレ,・びゅうプラザ,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,・南北線,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,
赤羽駅,湘南新宿ライン・北行き（６番線）出口に近い・乗り換えに便利な乗車位置案,JR東日本公式サイト：赤羽駅,-,www.jreast.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赤羽駅,高崎線・上野行き（３番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【１５両編成】,２号車前方,（南改札口）,階段,４号車,（南改札口）,エレベーター,６号車前方,階段（南改札口）,エスカレーター（北改札口）,８号車後方,（北改札口）,階段,１２号車,（北改札口）,階段・エスカレーター,,,,,,,,,,,,,,,
赤羽駅,高崎線・上野行き（３番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【１０両編成】,２号車,（南改札口）,エレベーター,４号車前方,エスカレーター（南改札口）,階段（北改札口）,６号車後方,（北改札口）,階段,１０号車,（北改札口）,階段・エスカレーター,,,,,,,,,,,,,,,,,,
赤羽駅,高崎線・上野行き（３番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,南改札口,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,,,,,,,,,,,,,,,,,,,,,,,,,,
赤羽駅,高崎線・上野行き（３番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,北改札口（エキュート）,・トイレ,・びゅうプラザ,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,・南北線,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,
赤羽駅,高崎線・上野行き（３番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,南改札口,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,,,,,,,,,,,,,,,,,,,,,,,,,,
